Type;Axe;Date;Champ1;Champ2;Champ3;Champ4;Statut
Etat;Sécurité;2026-06-10;ok;;;;
Etat;Sécurité;2026-06-16;ok;;;;
Etat;Sécurité;2026-06-04;ok;;;;
Etat;Sécurité;2026-06-17;attention;;;;
Etat;Sécurité;2026-06-18;blocage;;;;
Etat;Qualité;2026-06-12;ok;;;;
Etat;Qualité;2026-06-05;ok;;;;
Etat;Qualité;2026-06-10;attention;;;;
Etat;Qualité;2026-06-17;ok;;;;
Etat;Qualité;2026-06-19;blocage;;;;
Etat;Coût;2026-06-09;ok;;;;
Etat;Coût;2026-06-16;attention;;;;
Etat;Coût;2026-06-20;blocage;;;;
Etat;Délai;2026-06-05;ok;;;;
Etat;Délai;2026-06-16;ok;;;;
Etat;Délai;2026-06-11;ok;;;;
Etat;Délai;2026-06-18;blocage;;;;
Etat;Personnel;2026-06-10;ok;;;;
Etat;Personnel;2026-06-16;attention;;;;
Etat;Personnel;2026-06-17;ok;;;;
Etat;Personnel;2026-06-20;attention;;;;
