Type;Axe;Date;Champ1;Champ2;Champ3;Champ4;Statut
Etat;Sécurité;2026-06-02;ok;;;;
Etat;Sécurité;2026-06-03;ok;;;;
Etat;Sécurité;2026-06-04;attention;;;;
Etat;Sécurité;2026-06-05;ok;;;;
Etat;Sécurité;2026-06-09;ok;;;;
Etat;Sécurité;2026-06-10;blocage;;;;
Etat;Sécurité;2026-06-11;attention;;;;
Etat;Sécurité;2026-06-12;ok;;;;
Etat;Sécurité;2026-06-16;attention;;;;
Etat;Qualité;2026-06-02;ok;;;;
Etat;Qualité;2026-06-03;ok;;;;
Etat;Qualité;2026-06-04;ok;;;;
Etat;Qualité;2026-06-05;attention;;;;
Etat;Qualité;2026-06-06;ok;;;;
Etat;Qualité;2026-06-09;ok;;;;
Etat;Qualité;2026-06-10;attention;;;;
Etat;Qualité;2026-06-11;ok;;;;
Etat;Qualité;2026-06-12;blocage;;;;
Etat;Qualité;2026-06-16;ok;;;;
Etat;Coût;2026-06-02;ok;;;;
Etat;Coût;2026-06-03;ok;;;;
Etat;Coût;2026-06-04;ok;;;;
Etat;Coût;2026-06-05;ok;;;;
Etat;Coût;2026-06-09;attention;;;;
Etat;Coût;2026-06-10;ok;;;;
Etat;Coût;2026-06-11;ok;;;;
Etat;Coût;2026-06-16;ok;;;;
Etat;Délai;2026-06-02;ok;;;;
Etat;Délai;2026-06-03;attention;;;;
Etat;Délai;2026-06-04;ok;;;;
Etat;Délai;2026-06-05;blocage;;;;
Etat;Délai;2026-06-09;ok;;;;
Etat;Délai;2026-06-10;ok;;;;
Etat;Délai;2026-06-11;attention;;;;
Etat;Délai;2026-06-16;attention;;;;
Etat;Personnel;2026-06-02;ok;;;;
Etat;Personnel;2026-06-03;ok;;;;
Etat;Personnel;2026-06-04;ok;;;;
Etat;Personnel;2026-06-05;ok;;;;
Etat;Personnel;2026-06-09;ok;;;;
Etat;Personnel;2026-06-10;attention;;;;
Etat;Personnel;2026-06-11;ok;;;;
Etat;Personnel;2026-06-12;ok;;;;
Etat;Personnel;2026-06-16;ok;;;;
